Chg,VIXPrice,VIXOpen,VIXHigh,VIXLow,VIXChg,GSECPrice,GSECOpen,GSECHigh,GSECLow,GSECChg,FXPrice,FXOpen,FXHigh,FXLow,FXChg,OilPrice,OilOpen,OilHigh,OilLow,OilChg,FII_BUY,FII_SELL,DII_BUY,DII_SELL,Nifty_PE
-0.0076,20.045,20.1,20.77,17.5825,-0.0027,6.014,6.028,6.028,5.991,-0.0031,73.538,73.475,73.613,73.144,-8.00E-04,41.11,40.97,41.49,40.3,0.0034,19932.3,19727.15,6248.89,6349.72,32.98
0.0072,20.1,19.66,20.6825,17.5525,0.0224,6.033,5.999,6.037,5.981,0.0068,73.6,73.715,73.784,73.581,7.00E-04,40.97,40.19,41.22,39.42,0.0202,4580.45,4830.27,3883.84,4951.67,33.01
0.0071,19.66,20.5975,20.5975,16.325,-0.0455,5.992,6.046,6.046,5.992,-0.0061,73.545,73.595,73.779,73.47,-7.00E-04,40.16,38.35,40.34,38.35,0.0491,4980.88,4716.22,4259.67,4471.88,33.26
-0.0021,20.5975,21.19,21.19,18.8975,-0.028,6.029,6.045,6.045,6.014,-3.00E-04,73.6,73.395,73.735,73.312,0.0031,38.28,37.28,38.57,37.06,0.0274,5391.77,4220.88,3922.08,4817.71,33.03
0.0013,21.19,20.7125,21.74,17.5325,0.0231,6.031,6.074,6.074,6.026,-0.0017,73.37,73.48,73.605,73.265,-8.00E-04,37.26,37.32,37.68,36.82,-0.0019,6172.11,5873.89,5851.26,5971.61,32.79
0.0152,20.7125,21.2625,21.345,18.1725,-0.0259,6.041,6.109,6.109,6.017,-0.002,73.43,73.535,73.628,73.405,0,37.33,37.01,37.82,36.67,8.00E-04,5468.87,4293.06,3004.57,3728.88,32.86
-0.0035,21.2625,22.23,22.23,17.7,-0.0435,6.053,5.998,6.053,5.985,0.0107,73.43,73.462,73.508,73.155,0.0018,37.3,37.8,38.18,36.93,-0.0197,5897.92,5059.55,3224.77,3542.07,32.82
-0.0033,22.23,22.7225,23.27,20.1975,-0.0217,5.989,6.081,6.081,5.983,-0.0111,73.3,73.787,73.832,73.31,-0.006,38.05,36.79,38.45,36.16,0.0351,5079.82,6038.91,3974.56,4238.53,32.33
0.0019,22.7225,22.0075,23.0725,17.57,0.0325,6.056,6.039,6.06,6.011,0.0105,73.74,73.63,73.974,73.385,0.004,36.76,39.48,39.59,36.13,-0.0622,3659.41,4715.93,4162.36,3542.07,32.44
-0.0168,22.0075,22.1525,23.2475,17.245,-0.0065,5.993,5.956,5.995,5.938,0.0106,73.444,73.291,73.508,73.027,0.0021,39.2,38.77,39.53,38.77,0.0116,3496.26,3503.19,2987.83,3803.65,32.55
-7.00E-04,22.1525,20.5025,22.6475,19.8575,0.0805,5.93,5.91,5.944,5.896,0.0058,73.289,73.48,73.505,73.006,-0.0014,39.77,41.25,41.87,39.35,-0.0387,4931.66,6820.44,3784.71,4241.59,32.49
0.0056,20.5025,21.105,21.105,18.16,-0.0285,5.896,5.919,5.919,5.878,-0.0041,73.389,73.225,73.57,73.151,0.0017,41.37,41.63,41.79,40.22,-0.0034,5127.27,5119.55,3301.57,3181.49,33.04
