NFOpen,NFChg,FXOpen,FXChg,OilOpen,OilChg,GsecOpen,GsecChange,GoldOpen,GoldChg,VIXOpen,VIXChg,FII_BUY,FII_SELL,DII_BUY,DII_SELL
5312.1,0.0104,46.35,-0.0009,75.37,0.0439,7.52,0.032,1241.7,-0.0512,21.04,-0.0563,52571.21,44030.15,24776.03,31047.95
5086.3,0.0445,46.31,0.0017,73.97,0.0224,7.56,-0.0004,1217,0.0275,26.67,-0.2406,51878.01,44164.06,23549.21,28326.26
5278.4,-0.0363,44.21,0.0472,86.2,-0.1414,8.07,-0.0617,1178.6,0.0272,21.3,0.2988,49588.04,61659.16,29971.71,23610.52
5249.2,0.0055,44.93,-0.0123,83.36,0.0285,7.84,0.0269,1112.9,0.06,19.16,0.0242,55061.05,52393.68,26283.22,24092.56
4935.6,0.0664,46.11,-0.0278,79.84,0.0515,7.92,-0.0018,1119.3,-0.0045,23.75,-0.1728,59692.57,44900.24,25818.47,30954.32
4882.1,0.0082,46.18,-0.0004,72.84,0.0929,7.58,0.036,1081,0.0326,26.8,-0.0808,39001.43,40944.9,21547.8,20235.85
5200.9,-0.0613,46.63,-0.0061,79.63,-0.0815,7.71,-0.0115,1097.1,-0.0111,23.79,0.1195,56109.18,63325.85,39004.29,26782.26
5039.7,0.0335,46.35,-0.0027,77.35,0.0269,7.26,0.0582,1181,-0.0727,25.73,-0.1531,45029.99,40789.13,26326.09,26276.42
4712.3,0.0681,47.01,-0.0083,77.02,0.0036,7.29,-0.0067,1043.5,0.136,28.76,0.0855,48761.93,47053.86,28355.29,25964.25
5087.2,-0.0732,47.73,-0.017,70.4,0.0905,7.19,0.0126,1007.4,0.0314,25.25,0.0047,63964.86,63964.73,30578.81,30626.32
4662.2,0.0905,48.67,-0.0196,69.85,0.0093,7.22,-0.0295,954.2,0.0592,78.91,-0.2677,62872.65,49541.22,27261.52,26565.48
4633.8,0.0055,47.71,0.0181,69.3,0.0073,7.43,0.0623,952.6,-0.0021,39.21,-0.1199,45722.53,49489.56,28621.6,23636.89
4292.3,0.0805,48.03,0.0016,70.45,-0.0063,7,-0.0021,929.3,0.0287,42.2,-0.0783,58990.29,60354.89,34970.99,29152.01
4450.4,-0.0355,47.09,0.0134,66.48,0.054,7.01,0.0452,978.8,-0.0528,41.19,0.0556,61767.47,61852.61,35173.5,32539.72
3478.7,0.2807,49.72,-0.0524,50.95,0.2971,6.71,0.075,884,0.0989,46.63,-0.1357,73016.96,59130.87,27344.7,27427.15
3023.9,0.15,50.69,-0.0167,48.96,0.0294,6.24,-0.1101,918.6,-0.0346,39.48,0.1811,38871.53,33311.43,17871.64,18653.97
2764.6,0.0931,50.83,-0.0085,44.34,0.1095,7.01,0.1084,945,-0.0201,40.61,-0.0278,31646.9,32330.47,19256.22,15304.69
2872.4,-0.0387,48.68,0.0441,41.75,0.0739,6.33,0.0228,929,0.0153,41.83,-0.0354,22066.26,24899.69,13438.92,10664.36
2963.3,-0.0285,48.7,0.0047,43.72,-0.0655,6.19,0.1762,881.5,0.0495,41.12,-0.023,28447.81,33620.63,18644.12,14925.98
2755.2,0.0741,49.39,-0.0193,54.62,-0.1806,5.26,-0.2571,817.2,0.0826,57.44,-0.2498,29362.68,28327.87,16472.77,14566.49
2885.4,-0.0452,49.13,0.0051,67.37,-0.1973,7.08,-0.0532,728.8,0.1387,88.68,-0.1596,28093.92,33552.88,15196.15,12322
3921.9,-0.2641,46.71,0.0536,101.86,-0.3262,7.48,-0.1322,878,-0.1801,37.19,0.8379,48413.6,64067.1,26254.38,15458.08
4356.1,-0.1006,43.62,0.0671,116.65,-0.1284,8.62,-0.0095,829.9,0.0541,49.7,0.1743,65932.27,78435.01,25415.62,16202.66
4331.6,0.0062,42.38,0.0326,124.06,-0.0695,8.7,-0.0661,904.9,-0.0926,40.26,-0.1892,44460.52,49916.64,17813.52,14841.14
4039.8,0.0724,42.81,-0.0104,140.18,-0.1137,9.32,0.0692,943.6,-0.0133,30.96,0.2616,62050.69,66654.69,23217.26,21690.07
4869.3,-0.1703,42.22,0.0183,127.63,0.0993,8.71,0.0755,887.3,0.0438,26.68,0.1604,60693.06,73360.22,23754.33,15126.36
5265.3,-0.0573,40.59,0.042,114.6,0.1224,8.1,0.0182,855,0.0284,25.16,0.0199,58982.92,65678.51,26254.47,17976.44
4735.7,0.0911,39.95,0.0107,101.57,0.117,7.96,0.0023,915,-0.0583,31.24,-0.2555,59546.97,62083.85,21678.24,18277.26
